,handle,created_at,tweet_text
10,Robert_Aderholt,2022-12-06T21:43:15.000Z,"Great meeting @NASA Crew-3 astronauts Raja Chari, Kayla Barron and Thomas Marshburn after their recent trip earlier this year to the @space_station. With every NASA led mission to space, the U.S. continues its leadership in this crucial domain. https://t.co/DrOZdFLR7h"
11,Robert_Aderholt,2022-12-05T18:52:36.000Z,What a view! It’ll be even better when our astronauts get to see it for themselves. #Artemis https://t.co/47tg7HUDZD
12,Robert_Aderholt,2022-11-29T23:49:59.000Z,We must stand with the people of China in their protests against the Chinese Communist Party!
13,Robert_Aderholt,2022-11-24T18:32:32.000Z,"Rejoice always, pray continually, give thanks in all circumstances; for this is God's will for you in Christ Jesus. 

1 Thessalonians 5:16-18 https://t.co/isdOL3yNsd"
14,Robert_Aderholt,2022-11-18T19:52:26.000Z,I encourage you to take a look at my latest op-ed in SpaceNews on the future of American space exploration and how NASA’s Space Launch System will pioneer a new era in human space presence. https://t.co/dsUdQbaqXD
15,Robert_Aderholt,2022-11-17T00:31:51.000Z,"Come January 3rd, the new Republican majority will be focused on lowering the cost of groceries and gas, securing our border, strengthening our military, and holding the Biden Administration accountable. https://t.co/uqhU3xm46x"
16,Robert_Aderholt,2022-11-16T13:25:07.000Z,Congratulations to everyone involved in the successful launch of @NASAArtemis.  I particularly want to thank everyone @NASA_Marshall This historic moment marks the beginning of a new era of human presence and permanence in space. #Artemis https://t.co/trNG8DMLnA
17,Robert_Aderholt,2022-11-15T19:36:18.000Z,"I don't think anyone else believes this. Because the data doesn't back it up.
https://t.co/n1x75RM1vf #FoxNews"
18,Robert_Aderholt,2022-11-11T20:40:58.000Z,"Happy Veterans Day to all who have served and those still serving in the Army, Navy, Marines, Air Force, Coast Guard and Space Force. https://t.co/tGp1TgABRX"
19,Robert_Aderholt,2022-11-10T16:29:11.000Z,"Join me in wishing a Happy Birthday to the Marine Corps. So many have served so proudly, including Cullman’s very own Roy Drinkard, one of the oldest living marines in the United States. https://t.co/xCTpQy6Hyt"
30,RepRickAllen,2022-12-06T21:25:00.000Z,"My staff will be in Metter, Millen, and Swainsboro tomorrow (12/7) to host Community Office Hours.

If you need help with a federal agency, please drop by!

For more information, please visit: https://t.co/jsC6GzDvoh"
31,RepRickAllen,2022-12-05T22:30:00.000Z,"Members of my staff will be in Springfield and Sylvania tomorrow (12/6) to host Community Office Hours.

If you need help with a federal agency, please drop by!

For more information, please visit: https://t.co/jsC6GzDvoh"
32,RepRickAllen,2022-12-04T20:00:00.000Z,"My staff will be in Alamo, Mount Vernon, and Soperton tomorrow (12/5) to host Community Office Hours.

If you need help with a federal agency, please drop by!

More info: https://t.co/jsC6GzDvoh"
33,RepRickAllen,2022-12-02T23:04:05.000Z,"RT @RepAndyBarr: ESG is a cancer in our capital markets that diminishes investor returns &amp; depletes investment in energy production, jeopar…"
34,RepRickAllen,2022-12-02T21:45:31.000Z,RT @DailyMail: Republicans go to war with Biden's 401k ESG 'cancer' https://t.co/gTzywPve5a
35,RepRickAllen,2022-12-02T21:42:55.000Z,"Dealing with federal agencies can be difficult. My office is here to help!

If you need assistance with a federal matter, members of our staff will be in these counties next week to offer one-on-one service, no appointment necessary.

⬇️ Full details ⬇️ 
https://t.co/otcijXPhSJ https://t.co/bZub5E9xdl"
36,RepRickAllen,2022-12-02T21:31:24.000Z,"REMINDER: Applications for our 2023 Spring Internship Program (available both in Washington and the district) are only open for another week.

The deadline to apply is next Friday, 12/9.

Please visit my website for more information:
https://t.co/sFNqjwQV7K https://t.co/Xg3BgslG0a"
37,RepRickAllen,2022-12-02T17:15:39.000Z,"""It’s worth remembering that disgraced crypto giant FTX had a stellar ESG rating, and ESG-titan BlackRock set a record earlier this year for losing $1.7 trillion of investors’ money in just six months.""

Read more in the @DailyMail:
https://t.co/8tXlpX0ocI"
38,RepRickAllen,2022-12-01T17:48:21.000Z,"I'll be on-air with @WilkowMajority today at 1:40 PM.

Tune into @SiriusXMPatriot Channel 125 to listen live!"
39,RepRickAllen,2022-11-30T19:38:49.000Z,RT @cathymcmorris: Instead of getting serious about flipping the switch for more energy production here in the U.S.—which would help lower…
50,MarkAmodeiNV2,2022-11-28T22:23:50.000Z,Proud to attend the Nevada Veterans Memorial Plaza Grand Opening &amp; Ribbon Cutting. The plaza is a phenomenal place to remember those who have given it all for us. I couldn't be prouder of this effort to honor our veterans. https://t.co/EI5rDdAGA5
51,MarkAmodeiNV2,2022-11-24T16:04:58.000Z,Happy Thanksgiving! https://t.co/Bl6rsFD0N0
52,MarkAmodeiNV2,2022-11-22T18:19:14.000Z,Great meeting with the Builders Association of Northern Nevada! Looking forward to continued collaboration with the building industry to advance economic growth and prosperity throughout our cities and towns. https://t.co/lFCkkD3qAk
53,MarkAmodeiNV2,2022-11-18T22:09:23.000Z,RT @thedanmasonshow: TODAY: Get ready for a renewed push for more education money in the next Nevada legislature. Now that Republicans will…
54,MarkAmodeiNV2,2022-11-18T18:28:16.000Z,"At the Placer Business Alliance DC Summit, it was great meeting with local and regional business leaders and public officials for a discussion focused on Lake Tahoe and the importance of working together across state lines to address challenges and opportunities. https://t.co/NY77yioZgi"
55,MarkAmodeiNV2,2022-11-15T14:17:02.000Z,"RT @NFRW: NFRW members from HI, ID, OR, AZ, NV,UT &amp; CA attended the Western Conference Stars &amp; Stipes in Vegas. Guest speakers were Congres…"
56,MarkAmodeiNV2,2022-11-11T17:23:34.000Z,LVRJ reporter Gary Martin was a thoughtful journalist. Nevada will miss the professionalism he brought to covering politics in our state. Rest In Peace Gary.
57,MarkAmodeiNV2,2022-11-11T15:38:15.000Z,"In honor of #VeteransDay, we come together to commemorate our nation's heroes.

We owe our veterans a debt of gratitude for protecting our American freedoms.

Thank you, today and every day, for your selfless devotion. 🇺🇸"
58,MarkAmodeiNV2,2022-11-10T21:08:13.000Z,"Honoring our veterans at the 5th Annual Dayton Chamber Veterans Appreciation Dinner.

Thank you for your service to our great country and commitment to the freedoms we enjoy today as Americans. https://t.co/a9L3ZKVZz6"
59,MarkAmodeiNV2,2022-11-03T13:57:13.000Z,RT @AmerSecurities: ASA applauds @HouseAppropsGOP FSGG SubCmte RM @rep_stevewomack for sending the @SECgov a message that it must not colle…
60,RepArmstrongND,2022-12-07T01:24:41.000Z,"Congratulations to my friend Mac Schneider. Looking forward to working with him.

https://t.co/hmApGshzdN"
61,RepArmstrongND,2022-12-06T16:06:50.000Z,"North Dakota agriculture has a $30.8 billion economic contribution and supports 110,480 total jobs for our state. We are grateful for our farmers and ranchers.
https://t.co/rsZBWoIhOl"
62,RepArmstrongND,2022-12-01T21:12:25.000Z,Great to receive an update on the @FMDiversion. I am glad to hear about its progress toward providing long-term flood relief for the region. https://t.co/OUMxWmy7CS
63,RepArmstrongND,2022-11-30T03:00:00.000Z,Met with Spirit Lake Nation Chairman Doug Yankton to discuss a variety of issues important to the tribe and North Dakotans. https://t.co/zU1o2P9GXX
64,RepArmstrongND,2022-11-29T21:16:39.000Z,"As we prepare for 2023, the Farm Bill is a top priority. Appreciated talking with PIA of ND about the importance of crop insurance for North Dakota's growers. https://t.co/XwftHRiARk"
65,RepArmstrongND,2022-11-29T20:45:12.000Z,RT @HouseCommerce: RT if you agree → We should drill AMERICAN oil and create AMERICAN jobs.
66,RepArmstrongND,2022-11-29T18:09:00.000Z,"The Biden admin is really good at making really bad policy.
 
More duplicative red tape will do nothing to keep our air and water clean.

https://t.co/b0GPVb3Xhv"
67,RepArmstrongND,2022-11-29T16:58:24.000Z,"RT @NDNationalGuard: 16 years ago today, Cpl. Christopher Kleinwachter gave his life for his country. He was killed in action in Afghanista…"
68,RepArmstrongND,2022-11-28T15:26:30.000Z,Both these teams have @NDSUfootball connections. Klieman coached the Bison from 2014-18 and won 4 championships in 5 years. Jim Wacker coached at NDSU from 1976-78. He was the head coach at TCU from 1983-91. https://t.co/zmDM8rflxd
69,RepArmstrongND,2022-11-26T13:42:00.000Z,"North Dakota has more than 75,000 small businesses. They do so much good for our communities.

#SmallBusinessSaturday is a great reminder to get out and support them. https://t.co/64dAC1SN5l"
